,Post,Caption,Date,likes,id_father,id_child,username;
"231,B166OkVBPJR,Hi @helen_wadurmelon,""Sep 20, 2019"",0,18021009682233493,,deanlalap";
"232,B166OkVBPJR,@elifyenipinarr 😍,""Sep 21, 2019"",0,17883239398419597,18100763509047768,aybikegun";
"233,B166OkVBPJR,@aybikegun,""Sep 21, 2019"",2,17883239398419597,,elifyenipinarr";
"234,B166OkVBPJR,@rsn.leon Giel misschien 🤣🤣,""Sep 21, 2019"",0,17901667906374897,,nathandamsteeg";
"235,B166OkVBPJR,@smonfscher @DerLiebePorschefahrerDerMichZumRennenAuffordernWollte🤔🔝😂🙌🏻,""Sep 21, 2019"",0,17891470321396149,,b1ack.angel";
"236,B166OkVBPJR,""When guys go from doing this in Lamborghinis and GTRs to Teslas, that's when you know you've made it"",""Sep 22, 2019"",0,17914869040346328,,soza.pidgeon";
"237,B166OkVBPJR,@marquettemoore 😑,""Sep 24, 2019"",0,17852819956584661,,jazmyn_moore";
"238,B166OkVBPJR,Tesla 2020 Roaster is finna be a blast,""Sep 24, 2019"",0,17891702086399141,,zeek920";
"239,B166OkVBPJR,Still waiting for ludicrous mode @jspresley,""Sep 26, 2019"",2,17844365656673011,,hpresley";
"240,B166OkVBPJR,@gabe.canicosa 🙄🙄🙄,""Sep 27, 2019"",0,17843971273687825,17877428803448080,kaecurameng";
"241,B166OkVBPJR,@kaecurameng,""Sep 27, 2019"",1,17843971273687825,,gabe.canicosa";
"242,B166OkVBPJR,@8lijah_rahal @jazzy_oama_flower,""Sep 27, 2019"",0,18062960608161024,,nanulovesu";
"243,B166OkVBPJR,🤘🧚‍♂️🤘,""Sep 27, 2019"",0,17882947801430568,,waygoer";
"244,B166OkVBPJR,@ellisonkaty,""Sep 28, 2019"",0,18030237370220292,,bobhasadream";
"245,B166OkVBPJR,@realestate_ric_ 🤣🤣🤣,""Sep 28, 2019"",0,17865698890500517,18062598376162174,ximenoboa";
"246,B166OkVBPJR,@realestate_ric_ 😂😂😂😂,""Oct 4, 2019"",0,17865698890500517,17853822220595020,rosaelena07";
"247,B166OkVBPJR,@rosaelena07 @ximenoboa your kids! Lol,""Sep 28, 2019"",1,17865698890500517,,realestate_ric_";
"248,B166OkVBPJR,@taxgeek9,""Sep 13, 2019"",0,18059763466162480,,thinking.thinkers";
"249,B166OkVBPJR,@marqu33n,""Sep 13, 2019"",0,18100305007015182,,ealopez16";
"250,B166OkVBPJR,@hannahcurtyy,""Sep 13, 2019"",1,17867930155476364,,bo_aylor";
"251,B166OkVBPJR,@alibutskiy,""Sep 13, 2019"",1,18081465298104565,,konz_b";
"252,B166OkVBPJR,@ciaratroutt,""Sep 14, 2019"",0,17851003774581897,,plutoindisguise";
"253,B166OkVBPJR,@m.ttg yep this was me,""Sep 14, 2019"",0,18033260695200577,17923820884318808,dr.kaylamarie";
"254,B166OkVBPJR,@dr.kaylamarie,""Sep 14, 2019"",0,18033260695200577,,m.ttg";
"255,B166OkVBPJR,Sorry no engine revs=boring car,""Sep 15, 2019"",0,17888385583401563,,e_k_workout_n_eats";
"256,B166OkVBPJR,@morganhardley MY FAVORITE THING,""Sep 16, 2019"",1,18028584304222283,18067081561132452,mimiunapologetically";
"257,B166OkVBPJR,@mimitinthisb ❤️,""Sep 16, 2019"",1,18028584304222283,,morganhardley";
"258,B166OkVBPJR,👍,""Sep 17, 2019"",0,18030556327211812,,art.mehdi_sh";
"259,B166OkVBPJR,Is this video taken with the internal cameras?,""Sep 19, 2019"",1,17845290835642141,,cptn_rex";
"260,B166OkVBPJR,@teslamotors ❤❤❤❤,""Sep 19, 2019"",0,18053841331183330,,hamelikianoosh";
"261,B166OkVBPJR,@iwokeuplikethisyup Type “R” 🤣,""Sep 19, 2019"",0,17842362139688057,,adamantium_steele";
"262,B166OkVBPJR,@dr_adams,""Sep 10, 2019"",0,17873894350446638,,yesmrking";
"263,B166OkVBPJR,:D,""Sep 10, 2019"",0,18069903349141409,,emanuelzichtl";
"264,B166OkVBPJR,@alexandra_renuka,""Sep 10, 2019"",0,17850296821581897,,mosmrkissoon";
"265,B166OkVBPJR,That torque 🔥,""Sep 11, 2019"",0,17884567279416849,,teslavseverything";
"266,B166OkVBPJR,👏👏,""Sep 11, 2019"",0,17851709743571655,,46_motors";
"267,B166OkVBPJR,👏👏,""Sep 11, 2019"",0,17889370555396374,,46_motors";
"268,B166OkVBPJR,""Hello My name is Mohammad from Iran My age is 19 years I have a few ideas about cars And I have inventions in the field of cars I have invented a device that can help keep the cabin temperature at the right temperature after the car is turned off to prevent the car's leather from disappearing, and I have several other ideas that I would be happy to work with"",""Sep 11, 2019"",1,17851853755569230,,mohamadali.mollaei";
"269,B166OkVBPJR,Do U have Thai musics?😅😁,""Sep 11, 2019"",0,18053612002175593,,malinaka6";
"270,B166OkVBPJR,@whitbh,""Sep 12, 2019"",0,18075322132121353,,tabikha";
"271,B166OkVBPJR,@jorgenwaa 😂😂,""Sep 12, 2019"",0,18014470003246863,18070747291139157,tonjevendela";
"272,B166OkVBPJR,@tonjevendela,""Sep 12, 2019"",0,18014470003246863,,jorgenwaa";
"273,B166OkVBPJR,@paula.g25 @_alise23_ jaasametaas un jaanopeerk visaam kopaa😭😍😂😂,""Sep 12, 2019"",1,18074410693127300,,rpbina";
"274,B166OkVBPJR,@toeheadbaby,""Sep 12, 2019"",1,17842545511664277,,michael.conley.3538";
"275,B166OkVBPJR,❤️❤️❤️,""Sep 5, 2019"",0,18052466119175711,,888makai";
"276,B166OkVBPJR,💯,""Sep 6, 2019"",1,17907761866359157,,dailyhabitsofamouspeople";
"277,B166OkVBPJR,hope one day ill be able to have one!,""Sep 6, 2019"",0,17859105490509749,,adria_trade";
"278,B166OkVBPJR,I would follow this page but her face annoys me,""Sep 6, 2019"",2,18062712625180004,,stephaniebenzcsq";
"279,B166OkVBPJR,@canchola_frank1 🤣,""Sep 7, 2019"",0,18062600716149640,17993381842266394,l0aky";
"280,B166OkVBPJR,@dahomi3.l0aky ur dads car lmao,""Sep 7, 2019"",1,18062600716149640,,frankcanchola_1";
"281,B166OkVBPJR,@lsabs7 @jsteti,""Sep 7, 2019"",0,18064984786130896,,dannypolj";
"282,B166OkVBPJR,Tesla ♡♥♡♥♡♥♡,""Sep 8, 2019"",0,18099413164051100,,mostafa_ab_mosbat";
"283,B166OkVBPJR,@coldlove_ 😂,""Sep 8, 2019"",0,17915491267334409,17859017194504979,that_hair";
"284,B166OkVBPJR,@that_hair lmao your neck,""Sep 8, 2019"",1,17915491267334409,,coldlove_";
"285,B166OkVBPJR,@atencio_nicole,""Sep 8, 2019"",0,17871807853455256,,shawnphipps";
"286,B166OkVBPJR,My remission gift 🎁 💕💁🏼‍♀️🌈✨ 4 years.. 🚗 ❤️✨,""Sep 8, 2019"",0,18098381080027069,,megxhilll";
"287,B166OkVBPJR,We should collab on a Kings DJ Tesla Model X 😝💜🎶🚘👌🏽🏀,""Sep 9, 2019"",0,18000289477254947,,dj_eddie_z";
"288,B166OkVBPJR,Love the launch 🚀,""Sep 9, 2019"",0,17994457762269322,,analogsystems";
"289,B166OkVBPJR,🔥🔥👋🏻👋🏻,""Sep 5, 2019"",0,18095370910013940,,ridetechnews";
"290,B166OkVBPJR,""I´m waiting since over 2 months for my front and rear window of my Model 3 here in Europe!!! Give a boost to the logistic, its a shame that I m left without my car for all this time! Agreiter Philipp, Italy"",""Sep 5, 2019"",0,18097600762039091,,autoservice_agreiter";
"291,B166OkVBPJR,@claudiodallalibera anche a me 💪,""Sep 5, 2019"",0,17853152317545075,18069969652136990,trickred";
"292,B166OkVBPJR,@trickred mi sta salendo,""Sep 5, 2019"",1,17853152317545075,,claudiodallalibera";
"293,B166OkVBPJR,Nice hairline,""Sep 5, 2019"",0,17850631990567786,,jon_jft";
"294,B166OkVBPJR,@alextonthat lol tres drôle -.-,""Sep 5, 2019"",0,17849754490564843,18056720104162236,laurianenavarri";
"295,B166OkVBPJR,@lauriane1211 je ne suis pas le seul xD,""Sep 5, 2019"",0,17849754490564843,,alextonthat";
"296,B166OkVBPJR,@hunter_hartman i love you,""Sep 5, 2019"",1,17992224187269936,17888656684403305,farrahmuwalla";
"297,B166OkVBPJR,@hunter_hartman i love you,""Sep 5, 2019"",0,17992224187269936,17910724447350574,farrahmuwalla";
"298,B166OkVBPJR,@farrahmuwalla,""Sep 5, 2019"",0,17992224187269936,,hunter_hartman";
"299,B166OkVBPJR,Or you could just buy a supra,""Sep 5, 2019"",0,17867972239467827,,harry_tw03";
"300,B166OkVBPJR,Follow me if you like cars,""Sep 5, 2019"",0,17853558232558912,,is_that_a_supra2k19";
"301,B166OkVBPJR,Happy international day of Charity! ❤️,""Sep 5, 2019"",0,17901497170370052,,threehorizonsorg";
"302,B166OkVBPJR,@celineverkade,""Sep 5, 2019"",0,17872637857452065,,jorenverkade";
"303,B166OkVBPJR,😍,""Sep 5, 2019"",0,17892756037382584,,tohidhsn";
"304,B166OkVBPJR,""This is awesome, @mikepfau! “I cannot not react” sounds about right when we’re talking about @teslamotors. 🙌"",""Sep 5, 2019"",0,18067693576081565,,usmarttech";
"305,B166OkVBPJR,Hit em with the zoom zoom!,""Sep 4, 2019"",0,17910057316347962,,thekingslayer419";
"306,B166OkVBPJR,""Hey, can I please have a model 3, white exterior, with autonomous mode, that’s all I want in life, thanks have a good day."",""Sep 4, 2019"",2,18097226173054344,,tyberol";
"307,B166OkVBPJR,Like if the Porsche Taycan Turbo S is better,""Sep 4, 2019"",0,17850355039571208,,mems4koolkiddos";
"308,B166OkVBPJR,""Grande @teslamotors , davvero un bel fungo!"",""Sep 4, 2019"",1,17848350799592575,,andreajoseasa";
"309,B166OkVBPJR,My 2-year-old loves when I do this. It feels even more intense to her since she is in the back seat.,""Sep 4, 2019"",0,17888294299398775,,theresiahallmark";
"310,B166OkVBPJR,@johnchristierd @marsha_bart,""Sep 4, 2019"",0,18061407082177380,,coach_brettb";
"311,B166OkVBPJR,Yaaaaaaaas 🔥❤️🔥,""Sep 4, 2019"",0,18013216447245834,,simplefitechnology";
"312,B166OkVBPJR,Uh huh,""Sep 4, 2019"",0,17844532660624199,,christylynnr18";
"313,B166OkVBPJR,This would definitely be the weirdest car commercial ever,""Sep 4, 2019"",0,17892580129379348,,magicmillard";
"314,B166OkVBPJR,🚀🚀🚀,""Sep 4, 2019"",0,17892685795390733,,wave_of_potential";
"315,B166OkVBPJR,@bigevil WONDER WHAT HES DOING IF THERES LIKE A MODE OR something,""Sep 5, 2019"",0,17999004487259547,,suzyshinn";
"316,B166OkVBPJR,As Tesla user we need the Wifi working as cellular network .. specially when there is no coverage area .. now we have mobile internet and wifi working fine .. what if you out of the state .. to keep car always connected .. the wifi is the solution .. remove the Barriers and let your customers enjoy their Tesla by the way they like,""Sep 5, 2019"",0,18079044553110612,,mohdysf2";
"317,B166OkVBPJR,@chriscarsandmore every.time 😂,""Sep 4, 2019"",0,18062974951179597,17863364653479538,powellslearningpatience";
"318,B166OkVBPJR,@powellsandlackofpatience lmao 😂,""Sep 4, 2019"",0,18062974951179597,,in.2.everything";
"319,B166OkVBPJR,@s.glover50 @chrislo898,""Sep 4, 2019"",0,18016675687237123,,cardenb";
"320,B166OkVBPJR,@m.rogers4 the best feeling:),""Sep 4, 2019"",0,18096426571000350,17849525197564513,jai.rom";
"321,B166OkVBPJR,@jai.rom,""Sep 4, 2019"",1,18096426571000350,,m.rogers4";
"322,B166OkVBPJR,@lausvv als de m3p binnenkomt 😍,""Sep 4, 2019"",2,18088859032072729,,jegberink";
"323,B166OkVBPJR,@ no one because I don’t have a Tesla YET I want one sooooo bad 😭,""Sep 4, 2019"",0,17892287356383774,,yupp_its_eric";
"324,B166OkVBPJR,@christylynnr18,""Sep 4, 2019"",0,17883284107412323,,kyle7777";
"325,B166OkVBPJR,@chloe_payne22,""Sep 4, 2019"",0,17872271131451852,,brandondarnes";
"326,B166OkVBPJR,More fun in a gasoline powered car though,""Sep 4, 2019"",0,18097759396001940,,marcohshit";
"327,B166OkVBPJR,""After a while, you will get used to acceleration so it does get old"",""Sep 4, 2019"",0,17849013997583235,,jj_hixks";
"328,B166OkVBPJR,Indeed every morning during my trip to work the same fun,""Sep 4, 2019"",0,17903329726366026,,guntherwiehl";
"329,B166OkVBPJR,@colleennicki_ 🤘🏼,""Sep 4, 2019"",0,18012766012243635,,dpardo_19";
"330,B166OkVBPJR,Cardi B's Money auch nicht😭😂,""Sep 4, 2019"",0,17999115265256010,,raphilan";
"331,B166OkVBPJR,I was expecting a @pornhub intro,""Sep 4, 2019"",0,18078590482111360,,chinese_buffet_";
"332,B166OkVBPJR,@sumyrtle,""Sep 4, 2019"",0,18103683787002613,,thevwguy";
"333,B166OkVBPJR,👏🇺🇦🔥,""Sep 4, 2019"",0,17856830191523209,,valerii_zhydetskyi";
"334,B166OkVBPJR,@lcdyson32 this is you and the girls if @arsenalrob81 ever gets a @teslamotors 😂,""Sep 4, 2019"",1,18000971902247111,,simondyson";
"335,B166OkVBPJR,@_justinhough when one of us get a Tesla we'll defs do this 😂,""Sep 4, 2019"",1,17998766251256700,,j.burns78";
"336,B166OkVBPJR,25.09 Modell 3 Performance !! Yeha! 😍Wait wait wait,""Sep 4, 2019"",0,17917254766334330,,mikadmon";
"337,B166OkVBPJR,Did this to @welshabbie 😂,""Sep 4, 2019"",1,18064176238181492,,1tomstone";
"338,B166OkVBPJR,I guess the guy isn’t flooring it through a hairpin turn,""Sep 4, 2019"",0,17910931759345715,,ava_g_ciri";
"339,B166OkVBPJR,@peanutbutterandjyll,""Sep 4, 2019"",0,17917076299330994,,dihnatowycz";
"340,B166OkVBPJR,That is so ludicrous,""Sep 4, 2019"",0,18016286983240670,,denniswebdev";
"341,B166OkVBPJR,@jaronblue99,""Sep 4, 2019"",0,17847529876595457,,lukemoore_14";
"342,B166OkVBPJR,@einara90,""Sep 4, 2019"",1,18095942170027287,,fredrikandres1";
"343,B166OkVBPJR,literally do this to my girlfriend at least 5 times per destination lol,""Sep 4, 2019"",0,17972279092287805,,leejamestsui";
"344,B166OkVBPJR,😍😍😍😍,""Sep 4, 2019"",0,17872573231449761,,teslaambassadors";
"345,B166OkVBPJR,Excellent 👍,""Sep 4, 2019"",0,18067116637095447,,paulmotorca";
"346,B166OkVBPJR,@lizhatcher145 I know you love dat feeling Hahahahah 😍😍😍,""Sep 4, 2019"",0,17853059245557453,,drlakersgirl";
"347,B166OkVBPJR,Giggle machine,""Sep 4, 2019"",0,18062824645181133,,willybearito";
"348,B166OkVBPJR,@klm_iii you *know* what this reminds me of...,""Sep 4, 2019"",0,18057225730166824,,alexfurmansky";
"349,B166OkVBPJR,@rumdog180 you want a tesla don't you,""Sep 4, 2019"",0,17863255837478269,17845713001609536,clint_2jz";
"350,B166OkVBPJR,@rumdog180 hahahahha,""Sep 4, 2019"",0,17863255837478269,17850346531559846,riaandlu";
"351,B166OkVBPJR,@riaandlu @clint_2jz,""Sep 4, 2019"",1,17863255837478269,,rumdog180";
"352,B166OkVBPJR,Haha @nathanselbach even optrekken en... whow 🤣 Zo ziet wit leer eruit haha ben benieuwd 🙈,""Sep 4, 2019"",1,17916510847327976,,lexiefar";
"353,B166OkVBPJR,""I guess they‘re not on a racing circuit, so... isn’t it dangerous?"",""Sep 4, 2019"",0,17853998863529972,,coalio";
"354,B166OkVBPJR,❤️,""Sep 4, 2019"",0,18051584680199160,,timo.eugster";
"355,B166OkVBPJR,How @teslamotors will fight against such a perfect italian car like @automobilipininfarinaofficial Battista model ?! This new model looks impossible to reach..,""Sep 4, 2019"",0,18067256782090172,,luca_wolf01";
"356,B166OkVBPJR,@frewderris,""Sep 3, 2019"",1,17924272606315335,,dgdanaher";
"357,B166OkVBPJR,@r_summer,""Sep 3, 2019"",0,18051891838170828,,d.elsmith";
"358,B166OkVBPJR,@amywats0124,""Sep 3, 2019"",2,17844360685628313,,geoffhardin";
"359,B166OkVBPJR,@__zac__blain__,""Sep 3, 2019"",0,17892172126384589,,shutupshaye";
"360,B166OkVBPJR,Just watched the super video again and the girls seatbelt was undone while the driver is buckled up nicely.,""Sep 3, 2019"",0,18095857540033099,,phaseal3469";
"361,B166OkVBPJR,@cosmicwarrioralex ha hahahahahah!!! Ur not the only one!,""Sep 14, 2019"",1,18096376192057925,17868240019475303,phenomenina00";
"362,B166OkVBPJR,@phenomenina00 ❤️,""Sep 3, 2019"",0,18096376192057925,,cosmicwarrioralex";
"363,B166OkVBPJR,@jlask dingus,""Sep 3, 2019"",0,18017113945237762,17992967545269787,melaskoarts";
"364,B166OkVBPJR,@melaskoart lol,""Sep 3, 2019"",1,18017113945237762,,jlask";
"365,B166OkVBPJR,@long_n 🤣🤣🤣,""Sep 3, 2019"",0,18080022412108699,18060759742158913,aaronyoungman";
"366,B166OkVBPJR,@aaronyoungman,""Sep 3, 2019"",1,18080022412108699,,long_n";
"367,B166OkVBPJR,Myself,""Sep 3, 2019"",0,18050173876189256,,tvler.cannon";
"368,B166OkVBPJR,""Рубашка все сильнее и сильнее раскрывается, нам наверное до конца не показали видео...)"",""Sep 3, 2019"",0,18064712635130248,,romanbutym";
"369,B166OkVBPJR,@sincerly.serah,""Sep 3, 2019"",0,17850306382574093,,bonnietrow";
"370,B166OkVBPJR,@pauljoynerphoto all the time,""Sep 4, 2019"",1,17921504548323716,,raquelcjoyner";
"371,B166OkVBPJR,did u sure present tesla to lukashenko?,""Sep 4, 2019"",0,17858703409511101,,kelvset";
"372,B166OkVBPJR,@lewitje yeah yeah the one who can’t beat a C1 yeah yeah model 3 psshh,""Sep 3, 2019"",0,17864840008480066,17881093807424255,ivovanhal";
"373,B166OkVBPJR,""@ivovanhal yeah right @teslamotors could you make a car faster than the Lemon C1? I mean, we have to hit the air conditioning button to make it go faster, but we could pass any Tesla I’m pretty sure yeah yeah"",""Sep 3, 2019"",0,17864840008480066,17898300214374083,lewitje";
"374,B166OkVBPJR,""@ivovanhal I always do this to you in my Tesla, whoosh!"",""Sep 3, 2019"",1,17864840008480066,,lewitje";
"375,B166OkVBPJR,@sayuri.estheim εσυ θα τσιριζεις,""Sep 4, 2019"",1,18077832922118766,17846420866600012,_alexandr.jm_";
"376,B166OkVBPJR,@_alexandr.jm_ you will constantly tease me,""Sep 4, 2019"",1,18077832922118766,17844439735621247,sayuri.estheim";
"377,B166OkVBPJR,@_alexandr.jm_ θα γελάσουμε πολύ όταν αποκτήσουμε ένα 😂,""Sep 3, 2019"",2,18077832922118766,,sayuri.estheim";
"378,B166OkVBPJR,Ight ima head out 🍆🤸🏽‍♂️,""Sep 3, 2019"",0,18097532851018146,,lesizmorre";
"379,B166OkVBPJR,It makes your heart jump! Such a fun feeling!!!,""Sep 3, 2019"",1,17848225837597020,,thelittleblogofvegan";
"380,B166OkVBPJR,@ryevsf,""Sep 3, 2019"",0,18052456831169597,,_colleenevans_";
"381,B166OkVBPJR,@stephaniefrancis,""Sep 3, 2019"",0,18101739244040829,,mattdarcygjj";
"382,B166OkVBPJR,😏,""Sep 3, 2019"",1,18064567999133061,,coolandcollected__";
"383,B166OkVBPJR,Tickles the tummy ☺️,""Sep 3, 2019"",1,18091696012069012,,audreywss";
"384,B166OkVBPJR,@cris.yordan,""Sep 3, 2019"",0,18063915853180995,,cigdem_talgar";
"385,B166OkVBPJR,@benjaminhaarbo,""Sep 3, 2019"",1,18062653600146305,,christian_jespersen";
"386,B166OkVBPJR,@tango.oscar.delta.delta 😂🤟🏼,""Sep 3, 2019"",0,17854035949537730,17866047097471024,carswithoutgas";
"387,B166OkVBPJR,🤔 Not sure what’s happening except for her shirt slowly coming off.,""Sep 3, 2019"",1,17854035949537730,,tango.oscar.delta.delta";
"388,B166OkVBPJR,@mcdjo400 « tag your tesla bae »,""Sep 3, 2019"",1,18078478486103774,,thbben";
"389,B166OkVBPJR,@drea2_86 it’s what I do to you too lol,""Sep 3, 2019"",0,17892897802375840,,sidkid560";
"390,B166OkVBPJR,😂When I was in a Tesla that’s what happened 😂,""Sep 3, 2019"",0,18096588613039161,,__das_cat__meme_god";
"391,B166OkVBPJR,@jael.v why you do this to me? 😭,""Sep 3, 2019"",0,18087170200073929,18052213387172233,typicray";
"392,B166OkVBPJR,@typicray lol,""Sep 3, 2019"",0,18087170200073929,,jael.v";
"393,B166OkVBPJR,@promoeddie Facts 😂🤟🏼,""Sep 3, 2019"",1,18072647497120183,17975660971280335,carswithoutgas";
"394,B166OkVBPJR,Those are the reactions I want to see with the girl I want to be with EVERY DAY 😁,""Sep 3, 2019"",1,18072647497120183,,promoeddie";
"395,B166OkVBPJR,@twaffs I’m s-or-y,""Sep 3, 2019"",1,17881877683420274,,njdubbin";
"396,B166OkVBPJR,Move,""Sep 3, 2019"",1,17971568509286881,,fnealnwc";
"397,B166OkVBPJR,@flossylady Sounds familiar?,""Sep 3, 2019"",1,17845696702609280,,dr.toothman";
"398,B166OkVBPJR,""When we first got our 3, @juliafarrisfranklin and I did this to each other all the time. Still necessary every so often 😁"",""Sep 3, 2019"",1,18078393055105445,,astrothad";
"399,B166OkVBPJR,My wife 😂 @marcyvegn_animalovr,""Sep 3, 2019"",1,17844367231625813,,socaltintshop.chino";
"400,B166OkVBPJR,👍,""Sep 3, 2019"",0,17921540137320830,,dylan_helewn";
"401,B166OkVBPJR,🔥🔥🔥🔥,""Sep 3, 2019"",1,17885594890407560,,dylan_helewn";
"402,B166OkVBPJR,@wtfitsvee @smallwill_lifting @unicorn_nebula_ 😂,""Sep 3, 2019"",2,17916864262334599,,therealnicklarson";
"403,B166OkVBPJR,@tatigely ❤❤❤❤❤,""Sep 3, 2019"",0,17853876064526631,17852786167545235,andreea_emilia";
"404,B166OkVBPJR,Jajaja what a lovely surprise💙@mikepfau @andreea_emilia,""Sep 3, 2019"",2,17853876064526631,,tatigely";
"405,B166OkVBPJR,👌👌👌👌,""Sep 3, 2019"",1,17892445369376566,,akohagshnas";
"406,B166OkVBPJR,Wanna send me a car?,""Sep 3, 2019"",1,17853056392558040,,parkemelson";
"407,B166OkVBPJR,You can’t help but laugh during take off! #Zoom,""Sep 3, 2019"",1,17975261290280456,,lindalovesanimals";
"408,B166OkVBPJR,@jpgt4ut it’s like a roller coaster! stahhhppp 😩,""Sep 3, 2019"",1,18064256776192916,18096250291060790,_amandapeck";
"409,B166OkVBPJR,@_amandapeck you! Lolz,""Sep 3, 2019"",2,18064256776192916,,joeyfreshwata";
"410,B166OkVBPJR,@nishinotv,""Sep 3, 2019"",1,17971486006285529,,willie.coleman";
"411,B166OkVBPJR,@jess_roth,""Sep 3, 2019"",1,18096552529041557,,dbaracchini";
"412,B166OkVBPJR,@orladune 😂,""Sep 3, 2019"",0,18025291042217498,,elanatias";
"413,B166OkVBPJR,Listening to Cardi B 😂,""Sep 3, 2019"",1,18068047897142041,,kj_kensho_flow";
"414,B166OkVBPJR,Her reactions are pure joy!,""Sep 3, 2019"",1,18018840862231956,,curtispierson";
"415,B166OkVBPJR,@divatotten,""Sep 3, 2019"",0,18097201501045235,,ktotten6";
"416,B166OkVBPJR,@denwolf her reaction was smother then mine though 😂😂,""Sep 3, 2019"",0,17844314677621924,17924513182318416,ruttschii";
"417,B166OkVBPJR,@ruttschi,""Sep 3, 2019"",2,17844314677621924,,den_wolfr";
"418,B166OkVBPJR,@panamasupercars 😂,""Sep 3, 2019"",0,17999969071252328,18096270889063451,carswithoutgas";
"419,B166OkVBPJR,Deberías hacer un reaction video con varias personas 😂 @mayermm,""Sep 3, 2019"",1,17999969071252328,,panamasupercars";
"420,B166OkVBPJR,ولی فکر نکم به پای پراید ایران برسه 😢😢😢😢😢😢😢😭😭😭😭😭😭😭😭,""Sep 3, 2019"",0,17892090559383803,,mahdiiii_safarzadeh";
"421,B166OkVBPJR,@borazy 😅,""Sep 4, 2019"",0,17959373743288973,17927980924309149,xindee_tu_lee";
"422,B166OkVBPJR,@xindee_tu_lee 😂,""Sep 3, 2019"",0,17959373743288973,,borazy";
"423,B166OkVBPJR,@raphostojic,""Sep 3, 2019"",1,17845572463610782,,hugolabrecque98";
"424,B166OkVBPJR,@coach.cuff I’m the screaming girl,""Sep 3, 2019"",0,18091151854069175,18001268824252279,dannewins";
"425,B166OkVBPJR,@dannewins,""Sep 3, 2019"",2,18091151854069175,,coach.cuff";
"426,B166OkVBPJR,@gopro @mikepfau was an OG employee! Miss the good ok days #goproclassof2016,""Dec 17, 2020"",1,18067815505089997,17892789421753721,nateleenc";
"427,B166OkVBPJR,""@nateleenc you know it the good old days were the best. Great to see you last week, sorry I was running around, I’ll have more time down there coming up, let catch some winter swells ";")"",""Dec 17, 2020"",1,18067815505089997,17863828103251215,mikepfau"
"428,B166OkVBPJR,@mikepfau can’t wait my dude!,""Dec 17, 2020"",0,18067815505089997,17969190895351969,nateleenc";
"429,B166OkVBPJR,Great camera choice. 🎥,""Sep 3, 2019"",146,18067815505089997,,gopro";
"430,B166OkVBPJR,@c.sheilah ❤️,""Sep 3, 2019"",0,17892260812375929,17850384925562327,carswithoutgas";
"431,B166OkVBPJR,Hi- I am reaching out because my father in law dream would be to test drive and own the tesla truck - he has cancer and we are bot sure how much time he has left- I do understand the concept hasnt been released yet - but any help getting him to even see the concept would make this worthwhile- I did write a letter and sent to Mr Elon Musk Secretary at Corporate headquarters- please please please help me fulfill his wish Please reach out,""Sep 3, 2019"",3,17892260812375929,,c.sheilah";
"432,B166OkVBPJR,@austingray.ninja ZOOM ⚡️,""Sep 3, 2019"",0,17911096642347644,,gnarlyninjanate";
"433,B166OkVBPJR,@hannanatored,""Sep 3, 2019"",0,17975048944282165,,thomajay";
"434,B166OkVBPJR,@gopro 😂👍🏻,""Sep 3, 2019"",0,17855694532524936,,sardor_bellstore_davletyarov";
"435,B166OkVBPJR,Taycan 💪🏽💪🏽💪🏽🇩🇪 #TeslaKiller Better go trade in your $100k Teslas for $40k and get a real car. 🤣🤣🤣,""Sep 3, 2019"",2,17872518718442852,,kevinzamani";
"436,B166OkVBPJR,@johanhampis Roligt sa Bull!👏🏻👍🏻😍😍🏎,""Sep 3, 2019"",1,17848798540583897,17859707521499147,helenahampis";
"437,B166OkVBPJR,@helenahampis 😂😘,""Sep 3, 2019"",2,17848798540583897,,johanhampis";
"438,B166OkVBPJR,@graceiee,""Sep 3, 2019"",0,18000302716252251,,timsaywat";
"439,B166OkVBPJR,@_.brauch._,""Sep 3, 2019"",0,17857934842504008,,imjustinmonroe";
"440,B166OkVBPJR,😍,""Sep 3, 2019"",1,17887923904393660,,edufreit4s";
"441,B166OkVBPJR,@ferousset,""Sep 3, 2019"",0,17992817716271950,,joaovazquez";
"442,B166OkVBPJR,Follow my page to take some news about the worlds cars !,""Sep 3, 2019"",0,18098137207056688,,motorframe";
"443,B166OkVBPJR,So confused with this,""Sep 3, 2019"",0,18104916253033811,,asmartgal";
"444,B166OkVBPJR,NEVER gets old❤️,""Sep 3, 2019"",1,18017110816237597,,ayelakh";
"445,B166OkVBPJR,🔥🔥🔥🔥😍😍😍😍,""Sep 3, 2019"",1,17850192754562580,,yasithx";
"446,B166OkVBPJR,This is why we need a Tesla @chlo.eeezy,""Sep 3, 2019"",0,17852844595531259,,liveandletdrive";
"447,B166OkVBPJR,@thechrisbjork 😁,""Sep 3, 2019"",0,17852828410536101,18078377464103679,dianacondruz";
"448,B166OkVBPJR,@dianacondruz men du ser ut såhär istället 😱😫🥺😭😤🤬😡,""Sep 3, 2019"",0,17852828410536101,18018093235227722,thechrisbjork";
"449,B166OkVBPJR,@dianacondruz,""Sep 3, 2019"",0,17852828410536101,,thechrisbjork";
"450,B166OkVBPJR,@swimberley22,""Sep 3, 2019"",0,18061126402153628,,smithwimberley";
"451,B166OkVBPJR,It is good to be rich!,""Sep 3, 2019"",1,17850270880563255,,oliviermorelle";
